nickname,id,text,url,search_keyword,date,time,region
만병통치약,@nayanaya7777,"ㄷㅂㅈㅅ  어떤 사람은 돈 때문에 어떤사람은 우울증 어떤사람은 사람이힘들어서.한달좀 넘는 시간을 매일 트윗글을 보고 dm 카톡 전화를 해본 결과.같이갈수 있는 사람은 없다..
재미로 사기칠려고 떠보는사람이 대부분.어떤분이 이야기 해줬다.
""진짜 죽고 싶은게 아니고 이렇게 살아가는게 싫다고""
4",https://twitter.com/nayanaya7777/status/1479391799953477635,ㄷㅂㅈㅅ,2022-01-07,09:57:45,
Charley__Yoon,@Yoon_Charley,"ㄷㅂㅈㅅ한다고 꼬득여서 사기치는 쓰레기들 ㅈㅇ 가라.
1
3",https://twitter.com/Yoon_Charley/status/1482348610431840257,ㄷㅂㅈㅅ,2022-01-15,13:47:04,
7H02,@pokinmise1f,"@crowleykanojo
 님에게 보내는 답글
근데 ㄷㅂㅈㅅ이라고 써방 안 하면 정지 먹음 ㅆㅂ 나 저번에 자살조장으로 정ㅣ먹엇긔ㅠ
1
1",https://twitter.com/pokinmise1f/status/1483690668359032836,ㄷㅂㅈㅅ,2022-01-19,06:39:55,
지치고힘든..,@jichigohimdeun,"살기 너무 싫어서 그냥 ㅈㅅ하고싶은데 
혼자는 힘들거같아 ㄷㅂㅈㅅ하려해도 
재료구하기가 참..힘드네 
ㅅㅁㅈ 사기만 몇번을 당하는지 진짜 너무들하네
2
1",https://twitter.com/jichigohimdeun/status/1485863211677093888,ㄷㅂㅈㅅ,2022-01-25,06:32:50,
ㅂㅇ,@b80155068,"ㄷㅂㅈㅅ 계획 있으신분 계실까요?
1
1",https://twitter.com/b80155068/status/1487372763119886346,ㄷㅂㅈㅅ,2022-01-29,10:31:15,
노드랑,@lkbi7n,"@polygonwave_
 님에게 보내는 답글
아 ㄷㅂㅈㅅ??
1",https://twitter.com/lkbi7n/status/1488528888070393862,ㄷㅂㅈㅅ,2022-02-01,15:05:17,
LEN,@_OPILLIA,"@pdbluefox
 님에게 보내는 답글
ㄷㅂㅈㅅ....?
1
1",https://twitter.com/_OPILLIA/status/1489139874816925701,ㄷㅂㅈㅅ,2022-02-03,07:33:07,
할짜쿵,@pdbluefox,"@_OPILLIA
 님에게 보내는 답글
ㅈㅅ희망자 보단... ㄷㅂㅈㅅ희망자가 아닌지...
1
1",https://twitter.com/pdbluefox/status/1489139667937021965,ㄷㅂㅈㅅ,2022-02-03,07:32:18,
검정,@turnoffpls,"동반자살 하자 하는 새끼도 이상한데
그래 하자!!이래놓고 맘 변해서 넌 죽어.. 난 살게.. 무서워소못하겟오... 이러는 새끼가 제일 황당하고 이상함
(내얘기아님 인생이 좃같아서 남들이 어떤 똥망생을 사나 보러 ㄷㅂㅈㅅ 서치해봄)
2",https://twitter.com/turnoffpls/status/1489865649413586944,ㄷㅂㅈㅅ,2022-02-05,07:37:05,
7H02,@pokinmise1f,"@dangss___
 님에게 보내는 답글
시발 우리 ㄷㅂㅈㅅ팸 다시 결성된 거야??
1",https://twitter.com/pokinmise1f/status/1491768363269652484,ㄷㅂㅈㅅ,2022-02-10,13:37:48,
군필김민서,@mdgskblblack,"ㄷㅂㅈㅅ파트너구ㅅ납니다ㅜ
1
1",https://twitter.com/mdgskblblack/status/1493239323973410821,ㄷㅂㅈㅅ,2022-02-14,15:02:52,
